State,Assembly,Candidate,Party,Votes
Maharashtra,Buldhana,SUDHIR BABAN SURVE,Aam Aadmi Party,"  3,429 "
Maharashtra,Buldhana,VASANTRAO SUKHDEV DANDAGE,Samajwadi Party,"  2,750 "
Maharashtra,Buldhana,ADV. RAVINDRA DNYANDEO BHOJANE,Ambedkarite Party of India,"  2,448 "
Maharashtra,Buldhana,COMMANDER (RTD) ASHOK RAUT,Independent,"  2,077 "
Maharashtra,Buldhana,SAMBARE DINKAR TUKARAM,Independent,"  2,006 "
Maharashtra,Buldhana,CHINCHOLE GANGARAM KALUJI,Independent,"  1,917 "
Maharashtra,Buldhana,KRUSHNARAO INGLE,Independent,"  1,787 "
Maharashtra,Buldhana,SMT. PRABHATAI MADHUKAR PARLEWAR,Narayani Sena,"  1,725 "
Maharashtra,Buldhana,RAVINDRASING RAMSING PAWAR,Lok Bharati,"  1,265 "
Maharashtra,Buldhana,None of the Above,None of the Above,"  10,546 "
Maharashtra,Chandrapur,AHIR HANSRAJ GANGARAM,Bharatiya Janata Party,"  508,049 "
Maharashtra,Chandrapur,DEOTALE SANJAY WAMANRAO,Indian National Congress,"  271,780 "
Maharashtra,Chandrapur,CHATAP WAMANRAO SADASHIV,Aam Aadmi Party,"  204,413 "
Maharashtra,Chandrapur,KUMBHARE HANSRAJ GULAB,Bahujan Samaj Party,"  49,229 "
Maharashtra,Chandrapur,PRAMOD MANGARUJI SORTE,Independent,"  10,930 "
Maharashtra,Chandrapur,VINOD DINANATH MESHRAM,Independent,"  8,936 "
Maharashtra,Chandrapur,ASHOK VITHOBA KHANDALE,Republican Party of India,"  8,302 "
Maharashtra,Chandrapur,NAMDEO SHEDMAKE,Independent,"  5,829 "
Maharashtra,Chandrapur,NANDKISHOR GANGARAM RANGARI,Ambedkarite Party of India,"  4,850 "
Maharashtra,Chandrapur,FIRAJ PATHAN,Bahujan Mukti Party,"  4,341 "
Maharashtra,Chandrapur,QURESHI M. EKHALAK M. YUSUF,Socialist Party (India),"  4,176 "
Maharashtra,Chandrapur,KARTIK GAJANAN KODAPE,Independent,"  3,879 "
Maharashtra,Chandrapur,NITIN VASANT POHANE,Lok Bharati,"  3,772 "
Maharashtra,Chandrapur,PANKAJKUMAR SHARMA,All India Trinamool Congress,"  3,216 "
Maharashtra,Chandrapur,GHAYWAN ROSHAN JAMBUWANTRAO,Republican Paksha (Khoripa),"  2,736 "
Maharashtra,Chandrapur,ATUL ASHOK MUNGINWAR,Independent,"  2,693 "
Maharashtra,Chandrapur,SIDDHARTH RAUT,Prabuddha Republican Party,"  2,188 "
Maharashtra,Chandrapur,SANJAY NILKANTH GAWANDE,Independent,"  2,167 "
Maharashtra,Chandrapur,None of the Above,None of the Above,"  8,257 "
Maharashtra,Dhule,DR. BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,"  529,450 "
Maharashtra,Dhule,AMRISHBHAI RASIKLAL PATEL,Indian National Congress,"  398,727 "
Maharashtra,Dhule,ISHI YOGESH YASHWANT,Bahujan Samaj Party,"  9,897 "
Maharashtra,Dhule,ANSARI NIHAL AH. MOHD. HAROON,Aam Aadmi Party,"  9,339 "
Maharashtra,Dhule,RAMESH RAGHO MORE,Independent,"  8,057 "
Maharashtra,Dhule,DR BHUPESH PRAKASH PATIL,Independent,"  6,117 "
Maharashtra,Dhule,SAYYAD SALIM SAYYAD ALIM,Independent,"  5,278 "
Maharashtra,Dhule,DEORE MAHENDRA TRYAMBAK,Independent,"  2,091 "
Maharashtra,Dhule,SAYYAD MOHAMMAD QAYAM,Independent,"  1,600 "
Maharashtra,Dhule,PINJARI JAYNUDDIN HUSEN,Independent,"  1,545 "
Maharashtra,Dhule,JAFAR BAPUJI PATHAN,Independent,"  1,355 "
Maharashtra,Dhule,SAMBHAJI DEVIDAS PATIL,Bahujan Mukti Party,"  1,149 "
Maharashtra,Dhule,NIHAL AH.AB.RAHEMAN DANEWALA,Samajwadi Party,"  1,148 "
Maharashtra,Dhule,ABDUL HAMID SHAIKH HABIB,Independent,  914 
Maharashtra,Dhule,JAGDANE RAMESH SOMA,Maharashtra Parivartan Sena (T),  828 
Maharashtra,Dhule,MAHEMOOD BHAIJAAN,Awami Vikas Party,  792 
Maharashtra,Dhule,GAZI ATEZAD MUBEEN KHAN,Independent,  788 
Maharashtra,Dhule,SHAIKH MUKHATAR AH. MO. QASIM,Welfare Party Of India,  765 
Maharashtra,Dhule,MO. ISMAIL JUMMAN,Independent,  740 
Maharashtra,Dhule,None of the Above,None of the Above,"  2,503 "
Maharashtra,Dindori,CHAVAN HARISHCHANDRA DEORAM,Bharatiya Janata Party,"  542,784 "
Maharashtra,Dindori,DR. BHARATI PRAVIN PAWAR,Nationalist Congress Party,"  295,165 "
Maharashtra,Dindori,COM. HEMANT MOTIRAM WAGHERE,Communist Party of India (Marxist),"  72,599 "
Maharashtra,Dindori,MALI SHARAD SAHEBRAO,Bahujan Samaj Party,"  17,724 "
Maharashtra,Dindori,GAIKWAD ABHIJEET KALYANRAO,Independent,"  10,267 "
Maharashtra,Dindori,PRABHAT CHINDHU SONAWANE,Bharipa Bahujan Mahasangh,"  5,578 "
Maharashtra,Dindori,AJITDADA BHIKA PAWAR,Independent,"  5,177 "
Maharashtra,Dindori,PROF. DNYANESHWAR DAMU MALI,Aam Aadmi Party,"  4,067 "
Maharashtra,Dindori,KAILAS SAKHARAM MORE,Independent,"  3,900 "
Maharashtra,Dindori,BHARAT KISAN MATE,Bahujan Mukti Party,"  2,024 "
Maharashtra,Dindori,None of the Above,None of the Above,"  10,897 "
Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,"  535,982 "
Maharashtra,Gadchiroli-Chimur,DR. NAMDEO DALLUJI USENDI,Indian National Congress,"  299,112 "
Maharashtra,Gadchiroli-Chimur,RAMRAO GOVINDA NANNAWARE,Bahujan Samaj Party,"  66,906 "
Maharashtra,Gadchiroli-Chimur,DR. GAJBE RAMESHKUMAR BABURAOJI,Aam Aadmi Party,"  45,458 "
Maharashtra,Gadchiroli-Chimur,NAMDEO ANANDRAO KANNAKE,Communist Party of India,"  22,512 "
Maharashtra,Gadchiroli-Chimur,SATISH GOKULDAS PENDAM,All India Trinamool Congress,"  8,156 "
Maharashtra,Gadchiroli-Chimur,DEORAO MONBA NANNAWARE,Ambedkarite Party of India,"  6,606 "
Maharashtra,Gadchiroli-Chimur,DANDEKAR BABURAO LAXMAN,Independent,"  6,470 "
